Timestamp,Type,X,Y,Z
1767308077744,ACC,1.99437,-2.0638018,9.411607
1767308077785,ACC,2.054225,-2.0973208,9.378088
1767308077825,ACC,2.0470424,-2.1523874,9.409213
1767308077865,ACC,1.9560628,-2.0925324,9.414001
1767308077905,ACC,2.0326772,-2.0925324,9.370906
1767308077910,HR,45.0,0.0,0.0
1767308077945,ACC,2.0566192,-2.1523874,9.349358
1767308077985,ACC,2.0518308,-2.1308396,9.339781
1767308078024,ACC,2.0853498,-2.0733786,9.361329
1767308078066,ACC,2.0159178,-2.0733786,9.323022
1767308078106,ACC,2.0326772,-2.1787236,9.344569
1767308078146,ACC,2.0853498,-2.123657,9.361329
1767308078187,ACC,2.0494366,-2.1452048,9.339781
1767308078227,ACC,2.0135236,-2.15957,9.356541
1767308078267,ACC,2.0159178,-2.111686,9.3661175
1767308078307,ACC,2.1045034,-2.1260512,9.320627
1767308078347,ACC,2.0566192,-2.183512,9.437943
1767308078387,ACC,2.0446482,-2.1667526,9.387665
1767308078427,ACC,1.99437,-2.1140802,9.361329
1767308078467,ACC,1.958457,-2.2290018,9.3661175
1767308078506,ACC,2.099715,-2.2026656,9.380483
1767308078548,ACC,2.0207062,-2.147599,9.368511
1767308078588,ACC,2.0518308,-2.1906946,9.339781
1767308078628,ACC,2.066196,-2.15957,9.411607
1767308078669,ACC,2.0039468,-2.1667526,9.358934
1767308078708,ACC,2.006341,-2.135628,9.390059
1767308078748,ACC,2.0685902,-2.231396,9.320627
1767308078789,ACC,2.0350714,-2.1906946,9.421184
1767308078829,ACC,2.0015526,-2.1523874,9.337387
1767308078869,ACC,2.0638018,-2.1260512,9.363723
1767308078909,ACC,2.0039468,-2.1906946,9.320627
1767308078914,HR,44.0,0.0,0.0
1767308078949,ACC,2.0518308,-2.2146366,9.387665
1767308078989,ACC,2.0614076,-2.2361844,9.325416
1767308079030,ACC,2.0015526,-2.1978772,9.358934
1767308079070,ACC,2.0015526,-2.1332338,9.361329
1767308079110,ACC,2.0207062,-2.1691468,9.380483
1767308079150,ACC,2.0685902,-2.1068976,9.334992
1767308079191,ACC,2.0566192,-2.171541,9.399636
1767308079230,ACC,2.0614076,-2.183512,9.337387
1767308079271,ACC,2.0135236,-2.1547816,9.378088
1767308079311,ACC,2.0614076,-2.1906946,9.375694
1767308079351,ACC,2.0470424,-2.1691468,9.320627
1767308079391,ACC,2.0135236,-2.2026656,9.3661175
1767308079432,ACC,2.0685902,-2.1691468,9.394848
1767308079471,ACC,2.0111294,-2.1547816,9.337387
1767308079512,ACC,2.0446482,-2.0733786,9.392453
1767308079552,ACC,2.0087352,-2.1092918,9.361329
1767308079593,ACC,2.0350714,-2.1428106,9.337387
1767308079633,ACC,2.0231004,-2.1164744,9.315839
1767308079672,ACC,2.0015526,-2.111686,9.397242
1767308079713,ACC,2.0254946,-2.15957,9.294291
1767308079753,ACC,2.0518308,-2.1332338,9.334992
1767308079793,ACC,2.0494366,-2.111686,9.378088
1767308079834,ACC,2.0638018,-2.207454,9.356541
1767308079873,ACC,1.9728222,-2.1523874,9.315839
1767308079913,ACC,2.0757728,-2.1332338,9.380483
1767308079918,HR,45.0,0.0,0.0
1767308079953,ACC,1.946486,-2.1811178,9.3661175
1767308079994,ACC,2.123657,-2.0805612,9.337387
1767308080033,ACC,2.0518308,-2.2266076,9.385271
1767308080074,ACC,2.0566192,-2.0949266,9.380483
1767308080114,ACC,2.0518308,-2.1092918,9.358934
1767308080155,ACC,2.0278888,-2.1691468,9.332599
1767308080195,ACC,2.0853498,-2.0805612,9.385271
1767308080235,ACC,2.0973208,-2.1739352,9.394848
1767308080275,ACC,1.9919758,-2.1164744,9.351752
1767308080315,ACC,2.018312,-2.171541,9.356541
1767308080355,ACC,2.0901382,-2.2098482,9.394848
1767308080394,ACC,2.0901382,-2.1739352,9.313444
1767308080436,ACC,2.054225,-2.207454,9.337387
1767308080476,ACC,2.030283,-2.2170308,9.363723
1767308080516,ACC,2.0566192,-2.135628,9.414001
1767308080557,ACC,2.0566192,-2.135628,9.3421755
1767308080596,ACC,2.0470424,-2.135628,9.392453
1767308080637,ACC,2.0757728,-2.1523874,9.351752
1767308080677,ACC,2.054225,-2.099715,9.406818
1767308080717,ACC,2.1164744,-2.1260512,9.351752
1767308080757,ACC,2.054225,-2.0733786,9.363723
1767308080797,ACC,2.018312,-2.087744,9.387665
1767308080838,ACC,2.0590134,-2.1643584,9.40203
1767308080877,ACC,2.042254,-2.1332338,9.361329
1767308080918,ACC,2.054225,-2.0829554,9.358934
1767308080922,HR,45.0,0.0,0.0
1767308080957,ACC,2.0757728,-2.1691468,9.394848
1767308080997,ACC,2.0757728,-2.1068976,9.346964
1767308081037,ACC,2.0326772,-2.0709844,9.349358
1767308081079,ACC,2.0254946,-2.1619642,9.351752
1767308081119,ACC,2.0853498,-2.0901382,9.392453
1767308081159,ACC,2.0278888,-2.0925324,9.380483
1767308081199,ACC,2.042254,-2.1739352,9.409213
1767308081239,ACC,2.0566192,-2.0949266,9.361329
1767308081279,ACC,2.0733786,-2.0614076,9.392453
1767308081319,ACC,2.0829554,-2.0757728,9.368511
1767308081359,ACC,2.042254,-2.0925324,9.368511
1767308081399,ACC,2.0087352,-2.0949266,9.308656
1767308081441,ACC,2.0470424,-2.1284454,9.41879
1767308081480,ACC,2.0278888,-2.0805612,9.380483
1767308081520,ACC,2.078167,-2.0709844,9.375694
1767308081560,ACC,2.0733786,-2.1045034,9.397242
1767308081601,ACC,2.0398598,-2.0590134,9.428367
1767308081640,ACC,2.0614076,-2.0638018,9.303867
1767308081681,ACC,2.0614076,-2.1284454,9.3661175
1767308081721,ACC,2.0135236,-2.1260512,9.284714
